
fet_x,fet_y,tar_x,tar_y,prev_dir,dir
3,24,27,2,4,3
4,24,27,2,3,3
5,24,27,2,3,3
6,24,27,2,3,3
15,27,6,18,4,1
14,27,6,18,1,1
13,27,6,18,1,2
13,28,6,18,2,2
20,15,25,18,4,3
21,15,25,18,3,3
22,15,25,18,3,2
6,8,4,8,4,1
5,8,4,8,1,1
9,5,10,4,4,3
10,5,10,4,3,0
22,28,10,30,4,2
22,29,10,30,2,2
22,30,10,30,2,1
25,27,18,18,4,1
24,27,18,18,1,0
10,10,11,12,4,2
10,11,11,12,2,2
10,12,11,12,2,3
19,14,18,12,4,0
19,13,18,12,0,0
19,12,18,12,0,1
2,23,18,21,4,0
2,22,18,21,0,0
2,21,18,21,0,3
3,21,18,21,3,3
4,21,18,21,3,0
4,20,18,21,0,0
13,7,20,30,0,0
13,6,20,30,0,0
13,5,20,30,0,1
12,5,20,30,1,1
11,5,20,30,1,1
10,5,20,30,1,2
10,6,20,30,2,2
8,24,10,25,4,3
9,24,10,25,3,3
10,24,10,25,3,2
12,5,9,5,4,1
11,5,9,5,1,1
10,5,9,5,1,1
10,23,10,25,4,2
10,24,10,25,2,2
20,24,19,26,4,1
19,24,19,26,1,2
19,25,19,26,2,2
19,4,19,6,4,2
19,5,19,6,2,2
9,5,11,5,4,3
10,5,11,5,3,3
23,24,23,27,4,3
24,24,23,27,3,2
24,25,23,27,2,2
24,26,23,27,2,2
24,27,23,27,2,1
21,24,19,25,4,1
20,24,19,25,1,1
19,24,19,25,1,2
13,24,9,24,4,1
12,24,9,24,1,1
11,24,9,24,1,1
10,24,9,24,1,1
19,7,23,2,4,0
19,6,23,2,0,0
19,5,23,2,0,0
19,4,23,2,0,0
19,3,23,2,0,0
19,2,23,2,0,3
20,2,23,2,3,3
21,2,23,2,3,3
22,2,23,2,3,3
13,5,19,6,4,2
13,6,19,6,2,2
13,7,19,6,2,2
13,8,19,6,2,2
13,9,19,6,2,3
14,9,19,6,3,3
15,9,19,6,3,3
16,9,19,6,3,0
16,8,19,6,0,0
16,7,19,6,0,0
16,6,19,6,0,0
16,5,19,6,0,3
17,5,19,6,3,3
18,5,19,6,3,3
19,5,19,6,3,2
22,20,17,24,4,2
22,21,17,24,2,2
22,22,17,24,2,2
22,23,17,24,2,2
22,24,17,24,2,1
21,24,17,24,1,1
20,24,17,24,1,1
19,24,17,24,1,1
18,24,17,24,1,1
19,16,15,9,4,0
19,15,15,9,0,0
19,14,15,9,0,0
19,13,15,9,0,0
19,12,15,9,0,0
19,11,15,9,0,0
19,10,15,9,0,0
19,9,15,9,0,0
19,8,15,9,0,0
19,7,15,9,0,0
19,6,15,9,0,0
19,5,15,9,0,1
18,5,15,9,1,1
17,5,15,9,1,1
16,5,15,9,1,2
16,6,15,9,2,2
16,7,15,9,2,2
16,8,15,9,2,2
16,9,15,9,2,1
15,9,21,2,4,3
16,9,21,2,3,0
16,8,21,2,0,0
16,7,21,2,0,0
16,6,21,2,0,0
16,5,21,2,0,3
17,5,21,2,3,3
18,5,21,2,3,3
19,5,21,2,3,0
19,4,21,2,0,0
19,3,21,2,0,0
19,2,21,2,0,3
20,2,21,2,3,3
21,2,15,18,4,1
20,2,15,18,1,1
19,2,15,18,1,2
19,3,15,18,2,2
19,4,15,18,2,2
19,5,15,18,2,2
19,6,15,18,2,2
19,7,15,18,2,2
19,8,15,18,2,2
19,9,15,18,2,2
19,10,15,18,2,2
19,11,15,18,2,2
19,12,15,18,2,2
19,13,15,18,2,2
19,14,15,18,2,2
19,15,15,18,2,2
19,16,15,18,2,2
19,17,15,18,2,2
19,18,15,18,2,1
18,18,15,18,1,1
17,18,15,18,1,1
16,18,15,18,1,1
15,18,2,7,4,1
14,18,2,7,1,1
13,18,2,7,1,1
12,18,2,7,1,1
11,18,2,7,1,1
10,18,2,7,1,0
10,17,2,7,0,0
10,16,2,7,0,0
10,15,2,7,0,1
9,15,2,7,1,1
8,15,2,7,1,1
7,15,2,7,1,0
7,14,2,7,0,0
7,13,2,7,0,0
7,12,2,7,0,0
7,11,2,7,0,1
6,11,2,7,1,1
5,11,2,7,1,0
5,10,2,7,0,0
5,9,2,7,0,0
5,8,2,7,0,1
4,8,2,7,1,1
3,8,2,7,1,1
2,8,2,7,1,0
2,7,23,27,4,2
2,8,23,27,2,3
3,8,23,27,3,3
4,8,23,27,3,3
5,8,23,27,3,3
6,8,23,27,3,3
7,8,23,27,3,3
8,8,23,27,3,3
9,8,23,27,3,3
10,8,23,27,3,2
10,9,23,27,2,2
10,10,23,27,2,2
10,11,23,27,2,2
10,12,23,27,2,2
10,13,23,27,2,2
10,14,23,27,2,2
10,15,23,27,2,2
10,16,23,27,2,2
10,17,23,27,2,2
10,18,23,27,2,3
11,18,23,27,3,3
12,18,23,27,3,3
13,18,23,27,3,3
14,18,23,27,3,3
15,18,23,27,3,3
16,18,23,27,3,3
17,18,23,27,3,3
18,18,23,27,3,3
19,18,23,27,3,0
19,17,23,27,0,0
19,16,23,27,0,0
19,15,23,27,0,3
20,15,23,27,3,3
21,15,23,27,3,3
22,15,23,27,3,2
22,16,23,27,2,2
22,17,23,27,2,2
22,18,23,27,2,2
22,19,23,27,2,2
22,20,23,27,2,2
22,21,23,27,2,2
22,22,23,27,2,2
22,23,23,27,2,2
22,24,23,27,2,3
23,24,23,27,3,3
24,25,23,27,0,0
24,24,23,27,0,1
23,24,23,27,1,1
22,24,23,27,1,1
21,24,23,27,1,1
20,24,23,27,1,1
19,24,23,27,1,0
19,23,23,27,0,0
19,22,23,27,0,0
19,21,23,27,0,1
18,21,23,27,1,1
17,21,23,27,1,1
16,21,23,27,1,0
16,20,23,27,0,0
16,19,23,27,0,0
16,18,23,27,0,1
15,18,23,27,1,1
14,18,23,27,1,1
13,18,23,27,1,1
12,18,23,27,1,1
11,18,23,27,1,1
10,18,23,27,1,0
10,17,23,27,0,0
10,16,23,27,0,0
10,15,23,27,0,0
10,14,23,27,0,0
10,13,23,27,0,2
16,19,23,27,2,2
16,20,23,27,2,2
16,21,23,27,2,3
17,21,23,27,3,3
18,21,23,27,3,3
19,21,23,27,3,2
19,22,23,27,2,2
19,23,23,27,2,2
19,24,23,27,2,3
20,24,23,27,3,3
21,24,23,27,3,3
22,24,23,27,3,3
14,18,22,23,4,3
15,18,22,23,3,3
16,18,22,23,3,2
16,19,22,23,2,2
16,20,22,23,2,2
16,21,22,23,2,3
17,21,22,23,3,3
18,21,22,23,3,3
19,21,22,23,3,2
19,22,22,23,2,2
19,23,22,23,2,2
19,24,22,23,2,3
20,24,22,23,3,3
21,24,22,23,3,3
22,24,22,23,3,0
19,29,10,23,4,0
19,28,10,23,0,0
19,27,10,23,0,0
19,26,10,23,0,0
19,25,10,23,0,0
19,24,10,23,0,1
18,24,10,23,1,1
17,24,10,23,1,1
16,24,10,23,1,1
15,24,10,23,1,1
14,24,10,23,1,1
13,24,10,23,1,1
12,24,10,23,1,1
11,24,10,23,1,1
10,24,10,23,1,0
19,18,13,21,4,1
18,18,13,21,1,1
17,18,13,21,1,1
16,18,13,21,1,1
15,18,13,21,1,1
14,18,13,21,1,1
13,18,13,21,1,2
13,19,13,21,2,2
13,20,13,21,2,2
19,8,25,8,4,3
20,8,25,8,3,3
21,8,25,8,3,3
22,8,25,8,3,3
23,8,25,8,3,3
24,8,25,8,3,3
7,24,11,24,4,3
8,24,11,24,3,3
9,24,11,24,3,3
10,24,11,24,3,3
5,11,10,9,4,0
5,10,10,9,0,0
5,9,10,9,0,0
5,8,10,9,0,3
6,8,10,9,3,3
7,8,10,9,3,3
8,8,10,9,3,3
9,8,10,9,3,3
10,8,10,9,3,2
10,9,4,24,4,2
10,10,4,24,2,2
10,11,4,24,2,2
10,12,4,24,2,2
10,13,4,24,2,2
10,14,4,24,2,2
10,15,4,24,2,1
9,15,4,24,1,1
8,15,4,24,1,1
7,15,4,24,1,2
7,16,4,24,2,2
7,17,4,24,2,2
7,18,4,24,2,2
7,19,4,24,2,2
7,20,4,24,2,2
7,21,4,24,2,2
7,22,4,24,2,2
7,23,4,24,2,2
7,24,4,24,2,1
6,24,4,24,1,1
5,24,4,24,1,1
4,24,10,27,4,3
5,24,10,27,3,3
6,24,10,27,3,3
7,24,10,27,3,3
8,24,10,27,3,3
9,24,10,27,3,3
10,24,10,27,3,2
10,25,10,27,2,2
10,26,10,27,2,2
10,27,17,30,4,2
10,28,17,30,2,2
10,29,17,30,2,2
10,30,17,30,2,3
11,30,17,30,3,3
12,30,17,30,3,3
13,30,17,30,3,0
13,29,17,30,0,0
13,28,17,30,0,0
13,27,17,30,0,3
14,27,17,30,3,3
15,27,17,30,3,3
16,27,17,30,3,2
16,28,17,30,2,2
16,29,17,30,2,2
16,30,17,30,2,3
17,30,16,2,4,3
18,30,16,2,3,3
19,30,16,2,3,0
19,29,16,2,0,0
19,28,16,2,0,0
19,27,16,2,0,0
19,26,16,2,0,0
19,25,16,2,0,0
19,24,16,2,0,0
19,23,16,2,0,0
19,22,16,2,0,0
19,21,16,2,0,1
18,21,16,2,1,1
17,21,16,2,1,1
16,21,16,2,1,0
16,20,16,2,0,0
16,19,16,2,0,0
16,18,16,2,0,3
17,18,16,2,3,3
18,18,16,2,3,3
19,18,16,2,3,0
19,17,16,2,0,0
19,16,16,2,0,0
19,15,16,2,0,0
19,14,16,2,0,0
19,13,16,2,0,0
19,12,16,2,0,0
19,11,16,2,0,0
19,10,16,2,0,0
19,9,16,2,0,0
19,8,16,2,0,0
19,7,16,2,0,0
19,6,16,2,0,0
19,5,16,2,0,0
19,4,16,2,0,0
19,3,16,2,0,0
19,2,16,2,0,1
18,2,16,2,1,1
17,2,16,2,1,1
16,2,3,2,4,1
15,2,3,2,1,1
14,2,3,2,1,1
13,2,3,2,1,1
12,2,3,2,1,1
11,2,3,2,1,1
10,2,3,2,1,1
9,2,3,2,1,1
8,2,3,2,1,1
7,2,3,2,1,1
6,2,3,2,1,1
3,2,19,5,4,3
4,2,19,5,3,3
5,2,19,5,3,3
6,2,19,5,3,3
7,2,19,5,3,3
8,2,19,5,3,3
9,2,19,5,3,3
10,2,19,5,3,3
11,2,19,5,3,3
12,2,19,5,3,3
13,2,19,5,3,3
14,2,19,5,3,3
15,2,19,5,3,3
16,2,19,5,3,3
17,2,19,5,3,3
18,2,19,5,3,3
19,2,19,5,3,2
19,3,19,5,2,2
19,4,19,5,2,2
19,5,22,5,4,3
20,5,22,5,3,3
21,5,22,5,3,3
22,5,14,24,4,1
21,5,14,24,1,1
20,5,14,24,1,1
19,5,14,24,1,2
19,6,14,24,2,2
19,7,14,24,2,2
19,8,14,24,2,2
19,9,14,24,2,2
19,10,14,24,2,2
19,11,14,24,2,2
19,12,14,24,2,2
19,13,14,24,2,2
19,14,14,24,2,2
19,15,14,24,2,2
19,16,14,24,2,2
19,17,14,24,2,2
19,18,14,24,2,1
18,18,14,24,1,1
17,18,14,24,1,1
16,18,14,24,1,2
16,19,14,24,2,2
16,20,14,24,2,2
16,21,14,24,2,3
17,21,14,24,3,3
18,21,14,24,3,3
19,21,14,24,3,2
19,22,14,24,2,2
19,23,14,24,2,2
19,24,14,24,2,1
18,24,14,24,1,1
17,24,14,24,1,1
16,24,14,24,1,1
15,24,14,24,1,1
14,24,7,5,4,1
13,24,7,5,1,1
12,24,7,5,1,1
11,24,7,5,1,1
10,24,7,5,1,1
9,24,7,5,1,1
8,24,7,5,1,1
7,24,7,5,1,0
7,23,7,5,0,0
7,22,7,5,0,0
7,21,7,5,0,0
7,20,7,5,0,0
7,19,7,5,0,0
7,18,7,5,0,0
7,17,7,5,0,0
7,16,7,5,0,0
7,15,7,5,0,0
7,14,7,5,0,0
7,13,7,5,0,0
7,12,7,5,0,0
7,11,7,5,0,1
6,11,7,5,1,1
5,11,7,5,1,0
5,10,7,5,0,0
5,9,7,5,0,0
5,8,7,5,0,0
5,7,7,5,0,0
5,6,7,5,0,0
5,5,7,5,0,3
6,5,7,5,3,3
7,5,13,12,4,3
8,5,13,12,3,3
9,5,13,12,3,3
10,5,13,12,3,2
10,6,13,12,2,2
10,7,13,12,2,2
10,8,13,12,2,2
10,9,13,12,2,2
10,10,13,12,2,2
10,11,13,12,2,2
10,12,13,12,2,3
11,12,13,12,3,3
12,12,13,12,3,3
21,5,14,18,4,1
20,5,14,18,1,1
19,5,14,18,1,2
19,6,14,18,2,2
19,7,14,18,2,2
19,8,14,18,2,2
19,9,14,18,2,2
19,10,14,18,2,2
19,11,14,18,2,2
19,12,14,18,2,2
19,13,14,18,2,2
19,14,14,18,2,2
19,15,14,18,2,2
19,16,14,18,2,2
19,17,14,18,2,2
19,18,14,18,2,1
18,18,14,18,1,1
17,18,14,18,1,1
16,18,14,18,1,1
15,18,14,18,1,1
14,18,7,24,4,1
13,18,7,24,1,2
13,19,7,24,2,2
13,20,7,24,2,2
13,21,7,24,2,1
12,21,7,24,1,1
11,21,7,24,1,1
10,21,7,24,1,2
10,22,7,24,2,2
10,23,7,24,2,2
10,24,7,24,2,1
9,24,7,24,1,1
8,24,7,24,1,1
27,3,10,8,4,0
27,2,10,8,0,1
26,2,10,8,1,1
25,2,10,8,1,1
24,2,10,8,1,1
23,2,10,8,1,1
22,2,10,8,1,1
21,2,10,8,1,1
20,2,10,8,1,1
19,2,10,8,1,1
18,2,10,8,1,1
17,2,10,8,1,1
16,2,10,8,1,1
15,2,10,8,1,1
14,2,10,8,1,1
13,2,10,8,1,1
12,2,10,8,1,1
11,2,10,8,1,1
10,2,10,8,1,2
10,3,10,8,2,2
10,4,10,8,2,2
10,5,10,8,2,2
10,6,10,8,2,2
10,7,10,8,2,2
10,8,13,8,4,0
10,7,13,8,0,0
10,6,13,8,0,0
10,5,13,8,0,3
11,5,13,8,3,3
12,5,13,8,3,3
13,5,13,8,3,2
13,6,13,8,2,2
13,7,13,8,2,2
13,8,24,5,4,2
13,9,24,5,2,3
14,9,24,5,3,3
15,9,24,5,3,3
16,9,24,5,3,0
16,8,24,5,0,0
16,7,24,5,0,0
16,6,24,5,0,0
16,5,24,5,0,3
17,5,24,5,3,3
18,5,24,5,3,3
19,5,24,5,3,3
20,5,24,5,3,3
21,5,24,5,3,3
22,5,24,5,3,3
23,5,24,5,3,3
24,5,7,15,4,1
23,5,7,15,1,1
22,5,7,15,1,1
21,5,7,15,1,1
20,5,7,15,1,1
19,5,7,15,1,1
18,5,7,15,1,1
17,5,7,15,1,1
16,5,7,15,1,2
16,6,7,15,2,2
16,7,7,15,2,2
16,8,7,15,2,2
16,9,7,15,2,1
15,9,7,15,1,1
14,9,7,15,1,1
13,9,7,15,1,0
13,8,7,15,0,0
13,7,7,15,0,0
13,6,7,15,0,0
13,5,7,15,0,1
12,5,7,15,1,1
11,5,7,15,1,1
10,5,7,15,1,2
10,6,7,15,2,2
10,7,7,15,2,2
10,8,7,15,2,2
10,9,7,15,2,2
10,10,7,15,2,2
10,11,7,15,2,2
10,12,7,15,2,2
10,13,7,15,2,2
10,14,7,15,2,2
10,15,7,15,2,1
9,15,7,15,1,1
8,15,7,15,1,1
7,15,26,21,4,3
8,15,26,21,3,3
9,15,26,21,3,3
10,15,26,21,3,2
10,16,26,21,2,2
10,17,26,21,2,2
10,18,26,21,2,3
11,18,26,21,3,3
12,18,26,21,3,3
13,18,26,21,3,3
14,18,26,21,3,3
15,18,26,21,3,3
16,18,26,21,3,2
16,19,26,21,2,2
16,20,26,21,2,2
16,21,26,21,2,3
17,21,26,21,3,3
18,21,26,21,3,3
19,21,26,21,3,2
19,22,26,21,2,2
19,23,26,21,2,2
19,24,26,21,2,3
20,24,26,21,3,3
21,24,26,21,3,3
22,24,26,21,3,3
23,24,26,21,3,3
24,24,26,21,3,3
25,24,26,21,3,3
26,24,26,21,3,3
27,24,26,21,3,0
27,23,26,21,0,0
27,22,26,21,0,0
27,21,26,21,0,1
26,21,10,24,4,3
27,21,10,24,3,2
27,22,10,24,2,2
27,23,10,24,2,2
27,24,10,24,2,1
26,24,10,24,1,1
25,24,10,24,1,1
24,24,10,24,1,1
23,24,10,24,1,1
22,24,10,24,1,1
21,24,10,24,1,1
20,24,10,24,1,1
19,24,10,24,1,1
18,24,10,24,1,1
17,24,10,24,1,1
16,24,10,24,1,1
15,24,10,24,1,1
14,24,10,24,1,1
13,24,10,24,1,1
12,24,10,24,1,1
11,24,10,24,1,1
10,24,19,5,4,0
10,23,19,5,0,0
10,22,19,5,0,0
10,21,19,5,0,3
11,21,19,5,3,3
12,21,19,5,3,3
13,21,19,5,3,0
13,20,19,5,0,0
13,19,19,5,0,0
13,18,19,5,0,3
14,18,19,5,3,3
15,18,19,5,3,3
16,18,19,5,3,3
17,18,19,5,3,3
18,18,19,5,3,3
19,18,19,5,3,0
19,17,19,5,0,0
19,16,19,5,0,0
19,15,19,5,0,0
19,14,19,5,0,0
19,13,19,5,0,0
19,12,19,5,0,0
19,11,19,5,0,0
19,10,19,5,0,0
19,9,19,5,0,0
19,8,19,5,0,0
19,7,19,5,0,0
19,6,19,5,0,0
19,5,7,29,4,2
19,6,7,29,2,2
19,7,7,29,2,2
19,8,7,29,2,2
19,9,7,29,2,2
19,10,7,29,2,2
19,11,7,29,2,2
19,12,7,29,2,2
19,13,7,29,2,2
